  band1_sur0.67   band2_RAC0.86     NDVI      S_angle      band3_sur0.47 band2_sur(NOTUSE)   Land_type
    0.19960000    0.33072500    0.31169300    2.11601000    0.10080000    0.33770000   10.00000000
    0.19960000    0.33072500    0.31169300    2.11601000    0.10080000    0.33770000   10.00000000
    0.20480000    0.32216700    0.29767100    2.11646000    0.10540000    0.33110000   10.00000000
    0.24280000    0.34152000    0.22995500    2.11702000    0.12600000    0.34970000   10.00000000
    0.22410000    0.34184500    0.28472700    2.12087000    0.11190000    0.35090000   10.00000000
    0.20590000    0.30956200    0.27761000    2.11663000    0.10510000    0.31710000   10.00000000
    0.21920000    0.32757500    0.27428500    2.12103000    0.10670000    0.33590000   10.00000000
    0.20700000    0.32702900    0.30025200    2.11692000    0.10390000    0.33550000   10.00000000
    0.18560000    0.28197300    0.26263700    2.11730000    0.08730000    0.28570000   10.00000000
    0.21920000    0.32757500    0.27428500    2.12103000    0.10670000    0.33590000   10.00000000
    0.20700000    0.32702900    0.30025200    2.11692000    0.10390000    0.33550000   10.00000000
    0.21810000    0.31463400    0.23616000    2.12186000    0.10070000    0.32020000   10.00000000
    0.20690000    0.32045800    0.28912700    2.11762000    0.10770000    0.32950000   10.00000000
    0.21160000    0.33104300    0.29444100    2.12132000    0.10460000    0.33960000   10.00000000
    0.20460000    0.32336800    0.29988800    2.11705000    0.10080000    0.33180000   10.00000000
    0.19030000    0.28329500    0.25254100    2.12201000    0.08380000    0.28720000   10.00000000
    0.22360000    0.34438900    0.28947400    2.11790000    0.11150000    0.35380000   10.00000000
    0.19790000    0.32656000    0.31665900    2.12160000    0.09890000    0.33500000   10.00000000
    0.19330000    0.29737800    0.28629900    2.11737000    0.09800000    0.30460000   10.00000000
    0.21230000    0.30521200    0.25634800    2.12229000    0.10760000    0.31270000   10.00000000
    0.22620000    0.34802400    0.29058400    2.11803000    0.10870000    0.35770000   10.00000000
    0.20540000    0.32632500    0.30259900    2.12176000    0.09840000    0.33490000   10.00000000
    0.18230000    0.28696700    0.29494600    2.11761000    0.09170000    0.29380000   10.00000000
    0.21230000    0.30521200    0.25634800    2.12229000    0.10760000    0.31270000   10.00000000
    0.22620000    0.34802400    0.29058400    2.11803000    0.10870000    0.35770000   10.00000000
    0.20670000    0.31786900    0.28936900    2.12199000    0.09940000    0.32620000   10.00000000
    0.18230000    0.28696700    0.29494600    2.11761000    0.09170000    0.29380000   10.00000000
    0.19530000    0.28353900    0.25985900    2.12244000    0.09860000    0.29010000   10.00000000
    0.21540000    0.32780700    0.28501800    2.11835000    0.10270000    0.33660000   10.00000000
    0.20670000    0.31786900    0.28936900    2.12199000    0.09940000    0.32620000   10.00000000
    0.19580000    0.30502700    0.29472100    2.11774000    0.09540000    0.31280000   10.00000000
    0.19500000    0.28361500    0.26139100    2.12272000    0.09780000    0.29030000   10.00000000
    0.18840000    0.28367800    0.27601700    2.11857000    0.09400000    0.29040000   10.00000000
    0.17030000    0.26333300    0.28781000    2.12230000    0.08730000    0.26980000   10.00000000
    0.14630000    0.23517800    0.28668100    2.11806000    0.07000000    0.23750000   10.00000000
    0.18420000    0.27018300    0.26239100    2.12294000    0.09170000    0.27620000   10.00000000
    0.17880000    0.26643700    0.27011700    2.11886000    0.09010000    0.27240000   10.00000000
    0.18470000    0.28286400    0.28521200    2.12242000    0.09240000    0.28980000   10.00000000
    0.14640000    0.23700500    0.29754900    2.11834000    0.07500000    0.24160000   10.00000000
    0.29230000    0.35950300    0.20484900    2.14158000    0.13020000    0.37220000   10.00000000
    0.30930000    0.39464000    0.22036600    2.13720000    0.12900000    0.40800000   10.00000000
    0.30660000    0.39884300    0.22843800    2.14249000    0.12740000    0.41230000   10.00000000
    0.29700000    0.38474000    0.22909000    2.13829000    0.13610000    0.39790000   10.00000000
    0.29340000    0.36493600    0.20573400    2.14168000    0.12560000    0.37680000   10.00000000
    0.29410000    0.37377900    0.21734400    2.13752000    0.12150000    0.38620000   10.00000000
    0.27620000    0.35770600    0.22514700    2.14275000    0.11590000    0.36930000   10.00000000
    0.29660000    0.38049000    0.22405100    2.13859000    0.13460000    0.39350000   10.00000000
    0.29340000    0.36493600    0.20573400    2.14168000    0.12560000    0.37680000   10.00000000
    0.29410000    0.37377900    0.21734400    2.13752000    0.12150000    0.38620000   10.00000000
    0.26620000    0.34407600    0.22371500    2.14291000    0.11130000    0.35550000   10.00000000
    0.30530000    0.39309500    0.22481200    2.13876000    0.13310000    0.40650000   10.00000000
    0.28520000    0.35610900    0.21321700    2.13926000    0.12950000    0.36880000   10.00000000
    0.27680000    0.35332100    0.21858200    2.14323000    0.11720000    0.36540000   10.00000000
    0.30000000    0.39125900    0.23089600    2.13902000    0.12880000    0.40470000   10.00000000
    0.28110000    0.35253800    0.21541100    2.13958000    0.12690000    0.36500000   10.00000000
    0.27680000    0.35332100    0.21858200    2.14323000    0.11720000    0.36540000   10.00000000
    0.30000000    0.39125900    0.23089600    2.13902000    0.12880000    0.40470000   10.00000000
    0.25630000    0.32458200    0.21742700    2.14389000    0.12200000    0.33600000   10.00000000
    0.28410000    0.35271200    0.21136700    2.13969000    0.12870000    0.36540000   10.00000000
    0.27350000    0.34460600    0.21266000    2.14346000    0.11550000    0.35630000   10.00000000
    0.30670000    0.38784200    0.21631700    2.13935000    0.13160000    0.40120000   10.00000000
    0.22370000    0.29021000    0.22471300    2.14420000    0.10140000    0.29860000   10.00000000
    0.26500000    0.33991700    0.22119300    2.14000000    0.11350000    0.35090000   10.00000000
    0.27170000    0.33914900    0.20814700    2.14362000    0.11380000    0.35060000   10.00000000
    0.30640000    0.38037700    0.20728300    2.13943000    0.13590000    0.39330000   10.00000000
    0.24190000    0.31314600    0.22756400    2.14442000    0.11170000    0.32300000   10.00000000
    0.25870000    0.33686700    0.22853200    2.14014000    0.10890000    0.34800000   10.00000000
    0.28870000    0.36944100    0.22101300    2.14409000    0.12280000    0.38200000   10.00000000
    0.30390000    0.38434100    0.21609700    2.13975000    0.12990000    0.39830000   10.00000000
    0.28660000    0.36353600    0.22265500    2.14473000    0.13830000    0.37670000   10.00000000
    0.27070000    0.35366000    0.23135500    2.14039000    0.11590000    0.36540000   10.00000000
    0.28820000    0.37466300    0.22874100    2.14419000    0.12140000    0.38760000   10.00000000
    0.30030000    0.37638700    0.21210100    2.14007000    0.12890000    0.39000000   10.00000000
    0.28880000    0.36686500    0.22059300    2.14482000    0.13960000    0.37930000   10.00000000
    0.27740000    0.36114200    0.22973200    2.14071000    0.11900000    0.37350000   10.00000000
    0.29660000    0.39022700    0.23509700    2.14447000    0.12470000    0.40430000   10.00000000
    0.29010000    0.36935700    0.21965300    2.14014000    0.12560000    0.38250000   10.00000000
    0.26310000    0.34210200    0.23041100    2.14513000    0.12140000    0.35350000   10.00000000
    0.27980000    0.36919200    0.23727300    2.14102000    0.12210000    0.38190000   10.00000000
    0.29480000    0.39054900    0.23864000    2.14472000    0.12720000    0.40410000   10.00000000
    0.28560000    0.37092600    0.23117400    2.14046000    0.12940000    0.38380000   10.00000000
    0.21380000    0.31709700    0.29409000    2.13382000    0.10530000    0.32810000   10.00000000
    0.19320000    0.27003600    0.27028700    2.12940000    0.10490000    0.27940000   10.00000000
    0.19340000    0.27021000    0.27591200    2.13472000    0.10540000    0.28050000   10.00000000
    0.18460000    0.25692400    0.27081100    2.13065000    0.10010000    0.26570000   10.00000000
    0.20430000    0.30239000    0.29363900    2.13422000    0.09760000    0.31260000   10.00000000
    0.22600000    0.33042500    0.29440300    2.12993000    0.11310000    0.34310000   10.00000000
    0.20360000    0.30541800    0.30100700    2.13537000    0.10270000    0.31600000   10.00000000
    0.18300000    0.25778600    0.27393100    2.12977000    0.09950000    0.26650000   10.00000000
    0.18450000    0.26413600    0.28686300    2.13501000    0.09750000    0.27400000   10.00000000
    0.17740000    0.24803200    0.26999600    2.13065000    0.09370000    0.25600000   10.00000000
    0.20600000    0.29938000    0.29327400    2.13436000    0.10760000    0.31080000   10.00000000
    0.19810000    0.30224600    0.30242600    2.13552000    0.10080000    0.31340000   10.00000000
    0.17180000    0.24774500    0.29161700    2.12977000    0.09410000    0.25770000   10.00000000
    0.18410000    0.26104300    0.28377600    2.13508000    0.10070000    0.27110000   10.00000000
    0.18340000    0.25736600    0.27216700    2.13080000    0.09050000    0.26590000   10.00000000
    0.20240000    0.30005800    0.29139500    2.13559000    0.11270000    0.31110000   10.00000000
    0.22250000    0.31768400    0.28427900    2.13146000    0.11380000    0.33000000   10.00000000
    0.18130000    0.25859500    0.28686100    2.13537000    0.09940000    0.26850000   10.00000000
    0.19320000    0.26789300    0.26488600    2.13109000    0.09070000    0.27690000   10.00000000
    0.18420000    0.28791200    0.32070100    2.13587000    0.09860000    0.29770000   10.00000000
    0.21600000    0.30348300    0.27796700    2.13160000    0.10740000    0.31590000   10.00000000
    0.18370000    0.25847200    0.27227500    2.13536000    0.09400000    0.26700000   10.00000000
    0.18720000    0.26776900    0.27731000    2.13131000    0.09640000    0.27690000   10.00000000
    0.16220000    0.24347600    0.30193500    2.13226000    0.07730000    0.25140000   10.00000000
    0.19030000    0.28337200    0.30785800    2.13600000    0.10070000    0.29440000   10.00000000
    0.20340000    0.28567600    0.27398600    2.13174000    0.10060000    0.29570000   10.00000000
    0.18180000    0.26102200    0.27808800    2.13586000    0.08980000    0.27000000   10.00000000
    0.18840000    0.27252900    0.28316100    2.13160000    0.10430000    0.28200000   10.00000000
    0.17770000    0.26748400    0.31135500    2.13225000    0.09010000    0.27710000   10.00000000
    0.18940000    0.27072700    0.28948500    2.13614000    0.09980000    0.28130000   10.00000000
    0.19020000    0.27081300    0.27749500    2.13188000    0.09280000    0.28010000   10.00000000
    0.19900000    0.27897300    0.26811000    2.13739000    0.08730000    0.29070000   10.00000000
    0.15990000    0.23736400    0.29987400    2.13253000    0.07840000    0.24490000   10.00000000
    0.21010000    0.29563900    0.28047200    2.13634000    0.10610000    0.30800000   10.00000000
